Shoe,Height,Count
4,60,0
4.5,60,0
5,59,0
5,59,1
5,60,0
5,60,1
5,60,2
5,60,3
5,62,0
5,64,0
5.5,61,0
5.5,61,1
5.5,62,0
6,61,0
6,62,0
6,62,1
6,62,2
6,63,0
6,64,0
6,64,1
6,65,0
6.5,61,0
6.5,62,0
6.5,62,1
6.5,62.5,0
6.5,63,0
6.5,63,1
6.5,65,0
7,58,0
7,59,0
7,60,0
7,60,1
7,62,0
7,62,1
7,63,0
7,63,1
7,63,2
7,63,3
7,63,4
7,64,0
7,64,1
7,65,0
7,65,1
7,66,0
7,66,1
7,66.5,0
7,67,0
7,68,0
7.5,60,0
7.5,61,0
7.5,62,0
7.5,62,1
7.5,62,2
7.5,62,3
7.5,62,4
7.5,62,5
7.5,63,0
7.5,63,1
7.5,63,2
7.5,63,3
7.5,63,4
7.5,64,0
7.5,64,1
7.5,65,0
7.5,66,0
7.5,66,1
8,59,0
8,60,0
8,63,0
8,63,1
8,64,0
8,64,1
8,64,2
8,64,3
8,64,4
8,64,5
8,64,6
8,64,7
8,64,8
8,64,9
8,65,0
8,65,1
8,65,2
8,65,3
8,65,4
8,65,5
8,66,0
8,67,0
8,67,1
8,67,2
8,67,3
8,67.5,0
8,69,0
8.5,63,0
8.5,63,1
8.5,63,2
8.5,64,0
8.5,64,1
8.5,64.5,0
8.5,65,0
8.5,65,1
8.5,65,2
8.5,65,3
8.5,66,0
8.5,66,1
8.5,66.5,0
8.5,67,0
8.5,67,1
8.5,67,2
8.5,69,0
8.5,69,1
9,63,0
9,63,1
9,63,2
9,63,3
9,64,0
9,65,0
9,65,1
9,65,2
9,65,3
9,66,0
9,66,1
9,67,0
9,67,1
9,67,2
9,67,3
9,67,4
9,68,0
9,68,1
9,69,0
9,69,1
9,69,2
9.5,64.5,0
9.5,66,0
9.5,66,1
9.5,66,2
9.5,68,0
9.5,68,1
9.5,68,2
9.5,70,0
9.5,70,1
9.5,70,2
9.5,70,3
9.5,70,4
9.5,71,0
9.5,71,1
10,63,0
10,64,0
10,64,1
10,65,0
10,65,1
10,65,2
10,65,3
10,66,0
10,66,1
10,66,2
10,66,3
10,69,0
10,69,1
10,69,2
10,69,3
10,70,0
10,70,1
10,71,0
10,71,1
10,72,0
10,72,1
10,72,2
10.5,66,0
10.5,69,0
10.5,69,1
10.5,70,0
10.5,70,1
10.5,70,2
10.5,71,0
10.5,72,0
11,63,0
11,65,0
11,66,0
11,67,0
11,68,0
11,68,1
11,68,2
11,68,3
11,68,4
11,69,0
11,70,0
11,70,1
11,70,2
11,70,3
11,72,0
11,72,1
11,72,2
11,72,3
11,73,0
11,73,1
11,74,0
11,76,0
11,77,0
11.5,69.5,0
11.5,71,0
11.5,71,1
11.5,71,2
11.5,71,3
11.5,75,0
11.5,76,0
12,72,0
12,72,1
12,72,2
12,73,0
12,73,1
12,73,2
12,78,0
13,68,0
13,70,0
13,71,0
13,72,0
13,73,0
13,73,1
13,73,2
13,74,0
13,75,0
13,75,1
14,70,0
15,76,0
