Brain,Height,PIQ,Pred. Values
81.69,64.5,124,103.52973791369033
103.84,73.3,150,125.14974835146532
96.54,68.8,128,122.39168606470352
95.15,65,134,129.90111006556492
92.88,69,110,114.30372497857604
99.13,64.5,131,139.46745722743862
85.43,66,98,107.1416734257511
90.49,66.3,84,116.74957920252578
95.55,68.8,147,120.3516435119162
83.39,64.5,124,107.03284128716348
107.95,70,128,142.62777812017396
92.41,69,124,113.33521992826286
85.65,70.5,147,95.31034048651878
87.89,66,90,112.21087007207109
86.54,68,96,103.96913798428443
85.22,68.5,120,99.88411727737463
94.51,73.5,102,105.37790719028322
80.8,66.3,84,96.78188997372868
88.91,70,86,103.39302033727438
90.59,76.5,84,89.1103791217023
79.06,62,134,104.93505077932332
95.5,68,128,122.43255341153127
83.18,63,102,110.69499689766758
93.55,72,131,107.49457601837264
79.86,68,84,90.20400237557811
106.25,77,110,120.01517916865976
79.35,63,72,102.80271106213684
86.67,66.5,124,108.3319142694832
85.78,62.5,132,117.41764837989837
94.96,67,137,124.0497308679129
99.79,75.5,110,110.79827825904198
88,69,86,104.2477576476648
83.43,66.5,81,101.655411369452
94.81,66.5,128,125.10559748129003
94.94,70.5,124,114.45377009802797
89.4,64.5,94,119.41734203691277
93,74,74,100.90136316516168
93.59,75.5,89,98.022254191081
